2026-08-02 00:07:19  DEBUG     httpcore.http11  receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sat, 01 Aug 2026 18:37:19 GMT'), (b'Content-Length', b'650')])
2026-08-02 00:07:20  INFO      httpx  HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
2026-08-02 00:07:20  DEBUG     httpcore.http11  receive_response_body.started request=<Request [b'POST']>
2026-08-02 00:07:20  DEBUG     httpcore.http11  receive_response_body.complete
2026-08-02 00:07:20  DEBUG     httpcore.http11  response_closed.started
2026-08-02 00:07:20  DEBUG     httpcore.http11  response_closed.complete
2026-08-02 00:07:20  INFO      parsers.image_parser  VLM Output Parsed — extracted_text len=0, description len=348
2026-08-02 00:07:20  WARNING   parsers.image_parser  Ollama Vision call timed out (30s) for 'C:\Users\acer\Documents\Aadhisesha\Aadhi_Passport_Photo_white.jpeg'; falling back to Tesseract.
2026-08-02 00:07:20  DEBUG     pytesseract  ['tesseract', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_ce_am2za_input.PNG', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_ce_am2za', '-l', 'eng', 'txt']
2026-08-02 00:07:20  ERROR     parsers.image_parser  Tesseract executable not found. Install Tesseract and ensure it is on your PATH.
2026-08-02 00:07:20  DEBUG     httpcore.http11  send_request_headers.started request=<Request [b'POST']>
2026-08-02 00:07:20  DEBUG     httpcore.http11  send_request_headers.complete
2026-08-02 00:07:20  DEBUG     httpcore.http11  send_request_body.started request=<Request [b'POST']>
2026-08-02 00:07:20  DEBUG     httpcore.http11  send_request_body.complete
2026-08-02 00:07:20  DEBUG     httpcore.http11  receive_response_headers.started request=<Request [b'POST']>
2026-08-02 00:07:59  DEBUG     httpcore.http11  receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sat, 01 Aug 2026 18:37:59 GMT'), (b'Content-Length', b'628')])
2026-08-02 00:07:59  INFO      httpx  HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
2026-08-02 00:07:59  DEBUG     httpcore.http11  receive_response_body.started request=<Request [b'POST']>
2026-08-02 00:07:59  DEBUG     httpcore.http11  receive_response_body.complete
2026-08-02 00:07:59  DEBUG     httpcore.http11  response_closed.started
2026-08-02 00:07:59  DEBUG     httpcore.http11  response_closed.complete
2026-08-02 00:07:59  INFO      parsers.image_parser  VLM Output Parsed — extracted_text len=0, description len=324
2026-08-02 00:07:59  WARNING   parsers.image_parser  Ollama Vision call timed out (30s) for 'C:\Users\acer\Documents\Aadhisesha\College_ID_Card.jpeg'; falling back to Tesseract.
2026-08-02 00:07:59  DEBUG     pytesseract  ['tesseract', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_dxik4rvv_input.PNG', 'C:\\Users\\acer\\AppData\\Local\\Temp\\tess_dxik4rvv', '-l', 'eng', 'txt']
2026-08-02 00:08:00  ERROR     parsers.image_parser  Tesseract executable not found. Install Tesseract and ensure it is on your PATH.
2026-08-02 00:08:39  DEBUG     httpcore.http11  receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/json; charset=utf-8'), (b'Date', b'Sat, 01 Aug 2026 18:38:38 GMT'), (b'Content-Length', b'638')])
2026-08-02 00:08:39  INFO      httpx  HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
2026-08-02 00:08:39  DEBUG     httpcore.http11  receive_response_body.started request=<Request [b'POST']>
2026-08-02 00:08:39  DEBUG     httpcore.http11  receive_response_body.complete
2026-08-02 00:08:39  DEBUG     httpcore.http11  response_closed.started
